college_name,state,cost_of_attendance,out_of_state_tuition_premium,tuition_free_threshold,average_aid_percentage,endowment_size,requires_css_profile,net_price_0_30k,net_price_30k_48k,net_price_48k_75k,net_price_75k_110k,net_price_110k_plus
Arkansas State University,AR,25082,6432,0,,,False,10098.0,9255.0,12205.0,15839.0,16444.0
Arlington Baptist University,TX,33424,0,0,,,True,21759.0,21518.0,26892.0,28642.0,25941.0
Art Academy of Cincinnati,OH,53879,0,0,,,True,33835.0,26702.0,34052.0,41927.0,36786.0
Art Center College of Design,CA,75649,0,0,,,True,39645.0,42161.0,44738.0,45677.0,61144.0
Asbury University,KY,47459,0,0,,,True,18455.0,18280.0,18724.0,21296.0,25958.0
Ashland University,OH,43434,0,0,,,True,16489.0,17893.0,19052.0,24229.0,26507.0
Assumption University,MA,65551,0,0,,,True,19885.0,23632.0,25471.0,25961.0,33463.0
Atlantic University,PR,12986,0,0,,,True,5705.0,6558.0,8858.0,9440.0,
Auburn University,AL,34919,22032,0,,,False,16681.0,17627.0,20558.0,25808.0,29547.0
Auburn University at Montgomery,AL,21353,10968,0,,,False,11706.0,12309.0,13202.0,17387.0,16117.0
Augsburg University,MN,62303,0,0,,,True,21318.0,23180.0,21524.0,23223.0,32123.0
Augusta University,GA,23524,16320,0,,,False,11064.0,11154.0,13703.0,17548.0,18163.0
Augustana College,IL,63553,0,0,,,True,15787.0,16525.0,16865.0,22405.0,28086.0
Augustana University,SD,55159,0,0,,,True,18746.0,18895.0,17937.0,24787.0,27327.0
Aurora University,IL,40625,0,0,,,True,14525.0,14089.0,15431.0,19300.0,24595.0
Austin College,TX,61607,0,0,,,True,16528.0,15687.0,18823.0,21608.0,28470.0
Austin Peay State University,TN,22233,5760,0,,,False,7588.0,8768.0,10077.0,13537.0,15078.0
Ave Maria University,FL,46129,0,0,,,True,18761.0,20840.0,23790.0,24088.0,27107.0
Averett University,VA,53460,0,0,,,True,23064.0,16990.0,19023.0,21959.0,28810.0
Avila University,MO,50096,0,0,,,True,15694.0,14939.0,14682.0,17852.0,19775.0
Azusa Pacific University,CA,56313,0,0,,,True,15781.0,20495.0,22998.0,,27193.0
Babson College,MA,80192,0,0,,,True,23641.0,17077.0,16861.0,55470.0,80192.0
Bais HaMedrash and Mesivta of Baltimore,MD,24300,0,0,,,True,13700.0,7637.0,10002.0,15667.0,
Bais Medrash Mayan Hatorah,NJ,20700,0,0,,,True,,12019.0,,11122.0,
Bais Medrash Toras Chesed,NJ,14000,0,0,,,True,6605.0,,6955.0,,
Bais Medrash of Dexter Park,NY,36000,0,0,,,True,27167.0,26833.0,28255.0,28500.0,
Baker College,MI,24526,0,0,,,True,11976.0,11362.0,12546.0,13754.0,17964.0
Baker University,KS,50918,0,0,,,True,21057.0,18530.0,23470.0,27166.0,30800.0
Baldwin Wallace University,OH,55606,0,0,,,True,21296.0,20381.0,22994.0,27597.0,31288.0
Ball State University,IN,26146,18548,0,,,False,7834.0,9848.0,14333.0,19567.0,23479.0
Baptist Health Sciences University,TN,22227,0,0,,,True,6354.0,6989.0,14384.0,14267.0,18446.0
Baptist University of Florida,FL,23159,0,0,,,True,8754.0,7604.0,13451.0,,
Baptist University of the Americas,TX,13755,0,0,,,True,12338.0,12264.0,12505.0,3877.0,9617.0
Barclay College,KS,42890,0,0,,,True,27180.0,28851.0,29302.0,41190.0,25631.0
Bard College,NY,84553,0,0,,,True,19012.0,21038.0,22139.0,28185.0,44873.0
Barnard College,NY,89538,0,0,,,True,11600.0,15374.0,19094.0,24753.0,51378.0
Barry University,FL,50778,0,0,,,True,20804.0,21485.0,21524.0,25690.0,29180.0
Barton College,NC,51935,0,0,,,True,19641.0,18497.0,22510.0,25308.0,30286.0
Bates College,ME,83532,0,0,,,True,2397.0,8958.0,11336.0,19468.0,45886.0
Bay Path University,MA,47308,0,0,,,True,11948.0,12251.0,12698.0,17528.0,25475.0
Baylor University,TX,74226,0,0,,,True,22024.0,21530.0,33902.0,38852.0,47895.0
Be'er Yaakov Talmudic Seminary,NY,19858,0,0,,,True,4122.0,4292.0,5610.0,7171.0,
Beacon College,FL,70775,0,0,,,True,47601.0,47213.0,52117.0,55423.0,58721.0
Beis Medrash Heichal Dovid,NY,20540,0,0,,,True,8444.0,19261.0,8528.0,14300.0,13541.0
Belhaven University,MS,39793,0,0,,,True,10551.0,12820.0,16967.0,19476.0,20928.0
Bellarmine University,KY,61691,0,0,,,True,18430.0,19358.0,17391.0,21987.0,29194.0
Bellevue University,NE,23531,0,0,,,True,17561.0,18288.0,16324.0,18262.0,17231.0
Bellin College,WI,42941,0,0,,,True,29994.0,33493.0,33018.0,37835.0,41021.0
Belmont Abbey College,NC,34788,0,0,,,True,20610.0,18868.0,21195.0,24798.0,27059.0
Belmont University,TN,62570,0,0,,,True,22950.0,24723.0,28009.0,32153.0,43606.0
Beloit College,WI,71365,0,0,,,True,15176.0,16482.0,18028.0,22781.0,27871.0
Bemidji State University,MN,22744,0,0,,,False,10073.0,10207.0,12201.0,15857.0,19940.0
Benedict College,SC,32000,0,0,,,True,17177.0,18686.0,19295.0,20250.0,20328.0
Benedictine College,KS,52206,0,0,,,True,22032.0,22678.0,21893.0,27231.0,30832.0
Benedictine University,IL,46713,0,0,,,True,20168.0,17869.0,18628.0,23517.0,27454.0
Bennett College,NC,41296,0,0,,,True,27576.0,28109.0,31569.0,34862.0,20527.0
Bennington College,VT,87284,0,0,,,True,18480.0,18012.0,22336.0,25508.0,44625.0
Bentley University,MA,79548,0,0,,,True,21196.0,18587.0,26164.0,33653.0,49190.0
Berea College,KY,60718,0,0,,,True,5428.0,4598.0,8132.0,7570.0,13700.0
Berkeley College-New York,NY,45041,0,0,,,True,33638.0,33341.0,33533.0,38839.0,38592.0
Berkeley College-Woodland Park,NJ,44691,0,0,,,True,25832.0,24600.0,29284.0,32364.0,38426.0
Berklee College of Music,MA,72700,0,0,,,True,42734.0,37987.0,47799.0,46801.0,54676.0
Berry College,GA,56697,0,0,,,True,18189.0,16935.0,19283.0,20665.0,28116.0
Bet Medrash Gadol Ateret Torah,NY,22488,0,0,,,True,11529.0,9681.0,10031.0,10188.0,
Beth Medrash of Asbury Park,NJ,21110,0,0,,,True,10157.0,,9636.0,,
Bethany College (KS),KS,53738,0,0,,,True,22561.0,24432.0,27302.0,30580.0,33313.0
Bethany College (WV),WV,50758,0,0,,,True,14315.0,15239.0,17641.0,22434.0,27214.0
Bethany Global University,MN,43216,0,0,,,True,37327.0,36632.0,38752.0,38785.0,37796.0
Bethany Lutheran College,MN,41013,0,0,,,True,12571.0,16564.0,17233.0,20099.0,24961.0
Bethel College-North Newton,KS,52193,0,0,,,True,35147.0,32633.0,33019.0,31293.0,32270.0
Bethel University (IN),IN,43885,0,0,,,True,17580.0,12572.0,12673.0,18645.0,25871.0
Bethel University (MN),MN,58569,0,0,,,True,22218.0,22279.0,20071.0,24963.0,33155.0
Bethel University (TN),TN,31203,0,0,,,True,11871.0,17356.0,11713.0,10473.0,15163.0
Bethesda University,CA,13575,0,0,,,True,9747.0,9527.0,12063.0,11759.0,13575.0
Bethune-Cookman University,FL,29764,0,0,,,True,10896.0,11487.0,14346.0,17882.0,18654.0
Binghamton University,NY,30345,19880,0,,,False,12171.0,15281.0,20347.0,23533.0,28475.0
Biola University,CA,62757,0,0,,,True,27144.0,25410.0,26825.0,29846.0,37314.0
Black Hills State University,SD,21277,3102,0,,,False,11863.0,13379.0,15588.0,18072.0,18604.0
Blackburn College,IL,37916,0,0,,,True,16838.0,14781.0,12329.0,23013.0,23305.0
Bloomfield College of Montclair State University,NJ,42035,10110,0,,,False,24168.0,25998.0,30908.0,35815.0,36558.0
Blue Mountain Christian University,MS,33197,0,0,,,True,23112.0,23791.0,24721.0,26722.0,
Bluefield State University,WV,21839,7728,0,,,False,11810.0,10703.0,14630.0,17058.0,16242.0
Bluefield University,VA,42539,0,0,,,True,25807.0,25454.0,25732.0,25374.0,25430.0
Bluffton University,OH,51862,0,0,,,True,16363.0,16689.0,18469.0,21233.0,26321.0
Bob Jones University,SC,36580,0,0,,,True,14287.0,13936.0,15414.0,17997.0,23972.0
Boise Bible College,ID,23301,0,0,,,True,,13406.0,15185.0,,
Boise State University,ID,28224,18740,0,,,False,18165.0,17974.0,20731.0,23573.0,25893.0
Boricua College,NY,24213,0,0,,,True,14809.0,13907.0,23253.0,,
Boston Baptist College,MA,23370,0,0,,,True,,,15225.0,,21995.0
Boston College,MA,89493,0,0,,,True,4284.0,7304.0,13112.0,19999.0,60308.0
Boston University,MA,86285,0,0,,,True,9500.0,9342.0,11778.0,22517.0,47504.0
Bowdoin College,ME,85100,0,0,,,True,3145.0,2800.0,9007.0,13801.0,35196.0
Bowie State University,MD,25220,10720,0,,,False,17071.0,16646.0,19163.0,22808.0,24919.0
Bowling Green State University-Main Campus,OH,33007,7988,0,,,False,18396.0,18547.0,21820.0,25741.0,27414.0
Bradley University,IL,54730,0,0,,,True,17269.0,16539.0,18609.0,22954.0,30008.0
