college_name,state,cost_of_attendance,out_of_state_tuition_premium,tuition_free_threshold,average_aid_percentage,endowment_size,requires_css_profile,net_price_0_30k,net_price_30k_48k,net_price_48k_75k,net_price_75k_110k,net_price_110k_plus
Claremont McKenna College,CA,86500,0,0,,,True,15308.0,7360.0,16389.0,19325.0,52295.0
Clark Atlanta University,GA,43676,0,0,,,True,37356.0,39270.0,39009.0,39514.0,38680.0
Clark University,MA,68432,0,0,,,True,18188.0,13313.0,21971.0,25062.0,39035.0
Clarke University,IA,55782,0,0,,,True,23405.0,22543.0,22645.0,27890.0,24784.0
Clarkson College,NE,24670,0,0,,,True,,19222.0,17312.0,20003.0,20262.0
Clarkson University,NY,79022,0,0,,,True,21335.0,19934.0,23321.0,30990.0,35757.0
Clayton  State University,GA,17415,11352,0,,,False,7405.0,7032.0,9755.0,12095.0,14161.0
Clear Creek Baptist Bible College,KY,21040,0,0,,,True,11401.0,,,8237.0,
Cleary University,MI,39718,0,0,,,True,18046.0,18917.0,15328.0,20797.0,27372.0
Clemson University,SC,35015,25312,0,,,False,13607.0,14109.0,18851.0,24833.0,27922.0
Cleveland Institute of Art,OH,64587,0,0,,,True,23423.0,24992.0,26654.0,30518.0,37436.0
Cleveland Institute of Music,OH,61212,0,0,,,True,23782.0,29767.0,16884.0,21212.0,32629.0
Cleveland State University,OH,27159,5522,0,,,False,11958.0,13561.0,14727.0,15690.0,20378.0
Clinton College,SC,25015,0,0,,,True,11105.0,11999.0,6854.0,12222.0,
Coastal Carolina University,SC,26692,17988,0,,,False,9563.0,10292.0,12938.0,16350.0,20219.0
Coe College,IA,67372,0,0,,,True,11479.0,11523.0,14475.0,20223.0,27167.0
Coker University,SC,45805,0,0,,,True,16789.0,15138.0,18227.0,24421.0,24160.0
Colby College,ME,85420,0,0,,,True,4049.0,1251.0,3666.0,12106.0,46511.0
Colby-Sawyer College,NH,38527,0,0,,,True,22456.0,19687.0,24437.0,27412.0,29679.0
Colgate University,NY,87070,0,0,,,True,6086.0,2678.0,13617.0,21831.0,48234.0
College Unbound,RI,27138,0,0,,,True,20682.0,20586.0,21991.0,,21894.0
College for Creative Studies,MI,66014,0,0,,,True,30267.0,33152.0,33647.0,33667.0,38580.0
College of Charleston,SC,32362,25318,0,,,False,12133.0,13406.0,16797.0,20089.0,24996.0
College of Our Lady of the Elms,MA,54027,0,0,,,True,8099.0,22645.0,17539.0,21243.0,25491.0
College of Saint Benedict,MN,68453,0,0,,,True,12981.0,14791.0,20378.0,24039.0,33660.0
College of Saint Mary,NE,35971,0,0,,,True,14090.0,12713.0,9320.0,15242.0,23898.0
College of Staten Island CUNY,NY,14795,7950,0,,,False,3903.0,4473.0,7364.0,9923.0,13444.0
College of the Atlantic,ME,58266,0,0,,,True,20415.0,13942.0,16650.0,26266.0,34684.0
College of the Holy Cross,MA,80334,0,0,,,True,14343.0,16179.0,12682.0,27711.0,56284.0
College of the Ozarks,MO,33734,0,0,,,True,6381.0,6140.0,5022.0,6409.0,10426.0
Colorado Christian University,CO,54242,0,0,,,True,26010.0,24819.0,27203.0,26257.0,33274.0
Colorado College,CO,86921,0,0,,,True,9217.0,15477.0,12568.0,24129.0,44141.0
Colorado School of Mines,CO,40560,23910,0,,,False,16849.0,18162.0,22192.0,28183.0,35112.0
Colorado State University Pueblo,CO,23937,8224,0,,,False,9374.0,8948.0,10961.0,15701.0,12858.0
Colorado State University-Fort Collins,CO,31642,21410,0,,,False,13259.0,14460.0,15905.0,21927.0,29763.0
Colorado Technical University-Colorado Springs,CO,23744,0,0,,,True,16474.0,16990.0,18404.0,22215.0,22394.0
Columbia College (MO),MO,37207,0,0,,,True,23967.0,21168.0,21550.0,23015.0,21545.0
Columbia College (SC),SC,35258,0,0,,,True,17541.0,17017.0,16816.0,22928.0,20399.0
Columbia College Chicago,IL,51889,0,0,,,True,20924.0,21423.0,25590.0,31677.0,36436.0
Columbia International University,SC,43045,0,0,,,True,21955.0,25644.0,23535.0,28722.0,29751.0
Columbia Southern University,AL,18226,0,0,,,True,12913.0,13455.0,15569.0,16226.0,17408.0
Columbia University in the City of New York,NY,89472,0,0,,,True,4570.0,2275.0,5866.0,11782.0,50621.0
Columbus College of Art & Design,OH,54443,0,0,,,True,24204.0,27218.0,27534.0,29717.0,33114.0
Columbus State University,GA,21676,11712,0,,,False,11271.0,11873.0,13786.0,16542.0,18329.0
Commonwealth University of Pennsylvania,PA,25161,11824,0,,,False,11374.0,11370.0,13877.0,17989.0,20099.0
Conception Seminary College,MO,42698,0,0,,,True,22728.0,30053.0,,22724.0,
Concord University,WV,20434,11336,0,,,False,8021.0,6930.0,10438.0,13336.0,15472.0
Concordia College at Moorhead,MN,45942,0,0,,,True,20950.0,18889.0,20115.0,23045.0,28435.0
Concordia University Ann Arbor,MI,51853,0,0,,,True,28829.0,30199.0,32218.0,32526.0,35139.0
Concordia University Texas,TX,53020,0,0,,,True,18764.0,18394.0,22118.0,23977.0,32280.0
Concordia University-Chicago,IL,45383,0,0,,,True,16795.0,16397.0,15768.0,20046.0,23907.0
Concordia University-Irvine,CA,58682,0,0,,,True,25431.0,26012.0,22202.0,26339.0,31967.0
Concordia University-Nebraska,NE,53292,0,0,,,True,19107.0,20295.0,21442.0,25401.0,26433.0
Concordia University-Saint Paul,MN,37239,0,0,,,True,16406.0,16794.0,16826.0,19135.0,23295.0
Concordia University-Wisconsin,WI,53315,0,0,,,True,34991.0,31070.0,32747.0,36336.0,38595.0
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,NY,25625,0,0,,,True,12633.0,12659.0,14356.0,14837.0,
Connecticut College,CT,84623,0,0,,,True,13341.0,16892.0,28961.0,29797.0,47031.0
Converse University,SC,38838,0,0,,,True,14137.0,18500.0,23610.0,24754.0,29105.0
Coppin State University,MD,23748,6924,0,,,False,7714.0,9135.0,12636.0,17141.0,15578.0
Corban University,OR,52019,0,0,,,True,20555.0,14018.0,22737.0,31227.0,33015.0
Cornell College,IA,66249,0,0,,,True,16409.0,18513.0,20177.0,22944.0,29298.0
Cornell University,NY,88140,0,0,,,True,1776.0,4070.0,6796.0,14311.0,49992.0
Cornerstone University,MI,42043,0,0,,,True,20177.0,17674.0,17872.0,18489.0,23135.0
Cottey College,MO,39269,0,0,,,True,14093.0,10634.0,12063.0,15732.0,18130.0
Covenant College,GA,57467,0,0,,,True,18310.0,15929.0,24606.0,24836.0,30172.0
Creighton University,NE,63423,0,0,,,True,20472.0,22095.0,23405.0,28113.0,35090.0
Crestpoint University,AZ,19927,0,0,,,True,15499.0,15189.0,19927.0,,
Criswell College,TX,27748,0,0,,,True,20353.0,,20636.0,23900.0,
Crowley's Ridge College,AR,27340,0,0,,,True,15652.0,17238.0,12707.0,19956.0,18079.0
Crown College,MN,46598,0,0,,,True,24270.0,21318.0,22499.0,27777.0,30874.0
Culver-Stockton College,MO,44112,0,0,,,True,17712.0,18801.0,21584.0,24016.0,24786.0
Cumberland University,TN,43358,0,0,,,True,17882.0,18048.0,19609.0,20333.0,20917.0
Curry College,MA,64020,0,0,,,True,23806.0,23372.0,26827.0,32286.0,33973.0
D'Youville  University,NY,48539,0,0,,,True,16259.0,15826.0,19722.0,24476.0,27794.0
Daemen University,NY,45192,0,0,,,True,10773.0,13276.0,17289.0,18863.0,25356.0
Dakota State University,SD,25753,3102,0,,,False,17317.0,18792.0,19165.0,22601.0,23269.0
Dakota Wesleyan University,SD,43864,0,0,,,True,15251.0,15750.0,15927.0,19048.0,22416.0
Dallas Baptist University,TX,52716,0,0,,,True,25326.0,25996.0,28024.0,28242.0,32273.0
Dallas Christian College,TX,34502,0,0,,,True,19302.0,21399.0,23716.0,29512.0,25148.0
Dalton State College,GA,12719,7320,0,,,False,3962.0,3788.0,6042.0,8114.0,10055.0
Dartmouth College,NH,87793,0,0,,,True,41.0,489.0,2695.0,8534.0,52036.0
Davenport University,MI,37319,0,0,,,True,16700.0,22376.0,22856.0,24420.0,28703.0
Davidson College,NC,79475,0,0,,,True,9497.0,5354.0,6759.0,18616.0,42346.0
Davis & Elkins College,WV,44888,0,0,,,True,15999.0,17005.0,15690.0,19465.0,22496.0
DePaul University,IL,63052,0,0,,,True,27359.0,25950.0,28687.0,31057.0,37092.0
DePauw University,IN,74320,0,0,,,True,11820.0,13957.0,12979.0,21774.0,31225.0
DeSales University,PA,62745,0,0,,,True,24007.0,25400.0,26096.0,29982.0,34878.0
Dean College,MA,64889,0,0,,,True,26996.0,26798.0,28640.0,31161.0,34318.0
Defiance College,OH,53667,0,0,,,True,27196.0,26105.0,25884.0,24554.0,26637.0
Delaware State University,DE,27939,9964,0,,,False,11135.0,12452.0,15701.0,17633.0,17326.0
Delaware Valley University,PA,59933,0,0,,,True,21896.0,22118.0,24746.0,28104.0,32804.0
Delta State University,MS,22445,0,0,,,False,12223.0,10615.0,10625.0,17170.0,16950.0
Denison University,OH,81900,0,0,,,True,16656.0,13086.0,17827.0,20839.0,48472.0
Dewey University-Hato Rey,PR,11993,0,0,,,True,3192.0,3600.0,5035.0,,
Dickinson College,PA,82902,0,0,,,True,40755.0,15081.0,16316.0,22696.0,45175.0
Dickinson State University,ND,20567,0,0,,,False,10479.0,8094.0,12985.0,15484.0,16922.0
DigiPen Institute of Technology,WA,55588,0,0,,,True,28354.0,31113.0,41496.0,45880.0,52617.0
Dillard University,LA,39202,0,0,,,True,19819.0,21094.0,23224.0,26032.0,27019.0
Doane University,NE,57836,0,0,,,True,21129.0,24188.0,24225.0,26122.0,29410.0
Dominican University,IL,43891,0,0,,,True,9759.0,9014.0,11891.0,16851.0,17963.0
Dominican University New York,NY,47802,0,0,,,True,40695.0,41082.0,42353.0,43764.0,42337.0
Dominican University of California,CA,71751,0,0,,,True,24572.0,29275.0,30313.0,35343.0,43317.0
Dordt University,IA,51733,0,0,,,True,22597.0,21083.0,24079.0,25113.0,29940.0
Drake University,IA,64835,0,0,,,True,25824.0,23275.0,25171.0,27408.0,33126.0
Drew University,NJ,65301,0,0,,,True,15224.0,15697.0,20916.0,24947.0,35512.0
Drexel University,PA,76835,0,0,,,True,28055.0,29435.0,34970.0,37842.0,48089.0
Drury University,MO,48846,0,0,,,True,18759.0,15769.0,17552.0,20558.0,24458.0
Drury University-College of Continuing Professional Studies,MO,19698,0,0,,,True,9291.0,11756.0,10486.0,12937.0,13948.0
Duke University,NC,87072,0,0,,,True,735.0,0.0,5706.0,17100.0,54230.0
Duquesne University,PA,67776,0,0,,,True,29986.0,31729.0,32102.0,35611.0,41273.0
Eagle Gate College-Boise Campus,ID,35847,0,0,,,True,29464.0,31050.0,26930.0,35485.0,28052.0
Earlham College,IN,67684,0,0,,,True,17178.0,15658.0,19768.0,26136.0,31058.0
East Carolina University,NC,23867,16277,0,,,False,10046.0,11699.0,14904.0,20417.0,23028.0
East Central University,OK,18459,9810,0,,,False,8151.0,6402.0,7155.0,12154.0,10702.0
East Stroudsburg University of Pennsylvania,PA,27917,7966,0,,,False,15365.0,14511.0,17382.0,21135.0,22892.0
East Tennessee State University,TN,27042,4050,0,,,False,12433.0,14289.0,16400.0,20588.0,21193.0
East Texas A&M University,TX,23438,12300,0,,,False,9709.0,10346.0,12067.0,17230.0,20005.0
East Texas Baptist University,TX,44211,0,0,,,True,20420.0,20417.0,20141.0,25297.0,28532.0
East-West University,IL,32606,0,0,,,True,19168.0,26636.0,29284.0,30852.0,
Eastern Connecticut State University,CT,31983,3500,0,,,False,17654.0,16943.0,19340.0,21109.0,24346.0
Eastern Illinois University,IL,26996,2538,0,,,False,9828.0,8619.0,11412.0,15665.0,21027.0
Eastern Kentucky University,KY,23735,10910,0,,,False,8591.0,8005.0,10382.0,14384.0,17009.0
Eastern Mennonite University,VA,56756,0,0,,,True,22994.0,20333.0,20454.0,27570.0,29315.0
Eastern Michigan University,MI,29640,0,0,,,False,13250.0,12863.0,13748.0,18243.0,21036.0
Eastern New Mexico University-Main Campus,NM,18940,1980,0,,,False,3663.0,3080.0,5960.0,8388.0,9996.0
Eastern Oregon University,OR,26718,14355,0,,,False,12563.0,11150.0,14208.0,22566.0,21835.0
Eastern University,PA,55001,0,0,,,True,26557.0,22232.0,23373.0,25963.0,32353.0
Eastern Washington University,WA,24478,17373,0,,,False,9547.0,10204.0,12292.0,17596.0,22279.0
Ecclesia College,AR,31571,0,0,,,True,20801.0,20663.0,20393.0,27248.0,26071.0
Eckerd College,FL,68944,0,0,,,True,29615.0,34524.0,34294.0,35840.0,43955.0
Edgewood University,WI,50903,0,0,,,True,22291.0,19089.0,22573.0,23493.0,30913.0
Edward Waters University,FL,26617,0,0,,,True,12380.0,12113.0,9743.0,21661.0,20865.0
Elizabeth City State University,NC,17701,4000,0,,,False,4246.0,4538.0,5354.0,10205.0,15663.0
Elizabethtown College,PA,50865,0,0,,,True,17776.0,17113.0,20967.0,25064.0,31198.0
Elmhurst University,IL,54679,0,0,,,True,17892.0,18377.0,23098.0,25419.0,30232.0
Elmira College,NY,52449,0,0,,,True,17392.0,16586.0,19938.0,23309.0,27418.0
Elon University,NC,62266,0,0,,,True,26523.0,23514.0,24064.0,34472.0,49743.0
Embry-Riddle Aeronautical University-Daytona Beach,FL,64632,0,0,,,True,36238.0,35628.0,36769.0,40670.0,45035.0
Embry-Riddle Aeronautical University-Prescott,AZ,62798,0,0,,,True,39171.0,37924.0,37346.0,37587.0,42834.0
Embry-Riddle Aeronautical University-Worldwide,FL,24878,0,0,,,True,18216.0,18777.0,19002.0,21057.0,
Emerson College,MA,80399,0,0,,,True,32650.0,32621.0,41927.0,46252.0,57288.0
Emmanuel College,MA,65252,0,0,,,True,20399.0,20611.0,24008.0,26577.0,30832.0
Emmanuel University,GA,37604,0,0,,,True,17735.0,17687.0,19817.0,20592.0,24674.0
Emory & Henry University,VA,52854,0,0,,,True,14246.0,14430.0,17622.0,19029.0,23418.0
Emory University,GA,83622,0,0,,,True,7363.0,9220.0,11237.0,13821.0,53018.0
Empire State University,NY,19699,9910,0,,,False,8989.0,10507.0,14812.0,16481.0,19679.0
Emporia State University,KS,21967,8313,0,,,False,11452.0,11905.0,14229.0,18994.0,19531.0
Endicott College,MA,59328,0,0,,,True,29780.0,29447.0,32235.0,36925.0,43598.0
Erskine College,SC,55248,0,0,,,True,14555.0,12666.0,18652.0,16405.0,18942.0
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,9057,3600,0,,,False,5208.0,6026.0,6821.0,7684.0,
Eureka College,IL,39578,0,0,,,True,13711.0,14527.0,14602.0,21458.0,23482.0
Evangel University,MO,39956,0,0,,,True,16198.0,13584.0,16635.0,19210.0,21290.0
Evangel University-College of Online Learning,MO,26454,0,0,,,True,21199.0,,25109.0,,
Everglades University,FL,38913,0,0,,,True,25556.0,28867.0,29319.0,30356.0,34886.0
Fairfield University,CT,76074,0,0,,,True,33302.0,35155.0,26953.0,44077.0,50773.0
Fairleigh Dickinson University-Florham Campus,NJ,54204,0,0,,,True,12624.0,14383.0,21154.0,29052.0,34331.0
Fairleigh Dickinson University-Metropolitan Campus,NJ,50305,0,0,,,True,10218.0,10475.0,15057.0,23123.0,28735.0
Fairmont State University,WV,20018,10216,0,,,False,8434.0,8679.0,10505.0,11184.0,6945.0
Faith Baptist Bible College and Theological Seminary,IA,32722,0,0,,,True,14121.0,14439.0,16036.0,17612.0,19580.0
Farmingdale State College,NY,18966,9910,0,,,False,4933.0,6985.0,11834.0,14893.0,17919.0
Faulkner University,AL,37626,0,0,,,True,23385.0,20897.0,19170.0,21255.0,22835.0
Fayetteville State University,NC,16652,4000,0,,,False,6233.0,6908.0,8983.0,13354.0,14112.0
Felician University,NJ,50316,0,0,,,True,39626.0,39938.0,41909.0,41077.0,38120.0
Ferris State University,MI,27048,0,0,,,False,2556.0,4315.0,7638.0,12485.0,18603.0
Ferrum College,VA,54526,0,0,,,True,16940.0,16493.0,19967.0,22505.0,24346.0
Fisher College,MA,53921,0,0,,,True,25071.0,25267.0,27168.0,26511.0,30661.0
Fisk University,TN,39450,0,0,,,True,27647.0,32474.0,34204.0,34974.0,26678.0
Fitchburg State University,MA,25555,6080,0,,,False,10204.0,11199.0,11540.0,15571.0,21123.0
Five Towns College,NY,42458,0,0,,,True,17588.0,20113.0,24284.0,26744.0,27724.0
Flagler College,FL,45744,0,0,,,True,21733.0,23129.0,25521.0,29663.0,37909.0
Florida Agricultural and Mechanical University,FL,23970,11940,0,,,False,13299.0,10921.0,15269.0,18325.0,20332.0
Florida Atlantic University,FL,21522,12445,0,,,False,3022.0,4135.0,8106.0,14440.0,16854.0
Florida College,FL,34870,0,0,,,True,20494.0,19241.0,19530.0,25004.0,29396.0
Florida Gulf Coast University,FL,20807,19044,0,,,False,8220.0,8191.0,10999.0,15450.0,18829.0
Florida Institute of Technology,FL,62440,0,0,,,True,29108.0,29213.0,31311.0,36466.0,40649.0
Florida International University,FL,21462,12399,0,,,False,7003.0,7873.0,10925.0,14568.0,18200.0
Florida Memorial University,FL,35809,0,0,,,True,21882.0,22868.0,24425.0,26861.0,30076.0
Florida Polytechnic University,FL,21817,16065,0,,,False,8819.0,8769.0,11316.0,15037.0,16423.0
Florida Southern College,FL,60768,0,0,,,True,23624.0,21385.0,25830.0,29044.0,33706.0
Florida State University,FL,25720,13130,0,,,False,5938.0,6963.0,10496.0,14991.0,19239.0
Fordham University,NY,82762,0,0,,,True,32474.0,31657.0,37313.0,42030.0,52228.0
Fort Hays State University,KS,19909,11818,0,,,False,7661.0,9776.0,11941.0,14266.0,16641.0
Fort Lewis College,CO,27030,11568,0,,,False,18622.0,17014.0,19468.0,19498.0,13158.0
Fort Valley State University,GA,19879,11406,0,,,False,9017.0,9021.0,11502.0,15571.0,16914.0
Framingham State University,MA,27413,6080,0,,,False,11934.0,12233.0,13879.0,18551.0,21962.0
Francis Marion University,SC,23850,10384,0,,,False,9723.0,9449.0,11582.0,13788.0,17435.0
Franciscan Missionaries of Our Lady University,LA,28490,0,0,,,True,17014.0,18008.0,16370.0,16488.0,23539.0
Franciscan University of Steubenville,OH,44580,0,0,,,True,19696.0,18616.0,20288.0,20744.0,25675.0
Franklin College,IN,54178,0,0,,,True,14790.0,15822.0,20093.0,23439.0,30316.0
Franklin Pierce University,NH,64185,0,0,,,True,19364.0,23557.0,24473.0,26943.0,30860.0
Franklin University,OH,30696,0,0,,,True,24968.0,25876.0,24690.0,25389.0,29964.0
Franklin W Olin College of Engineering,MA,86474,0,0,,,True,,3100.0,9528.0,12271.0,27096.0
Franklin and Marshall College,PA,85776,0,0,,,True,12321.0,16942.0,16245.0,25104.0,49996.0
Freed-Hardeman University,TN,38315,0,0,,,True,20988.0,21788.0,19639.0,21308.0,23618.0
Fresno Pacific University,CA,44249,0,0,,,True,11133.0,11929.0,10799.0,15744.0,20353.0
Friends University,KS,50482,0,0,,,True,21714.0,23992.0,25517.0,29377.0,31471.0
Frostburg State University,MD,27056,15594,0,,,False,12129.0,12240.0,15709.0,19727.0,23297.0
Full Sail University,FL,47530,0,0,,,True,38738.0,38162.0,38181.0,40236.0,41762.0
Furman University,SC,76798,0,0,,,True,16401.0,17290.0,21041.0,27736.0,39310.0
Gallaudet University,DC,40374,0,0,,,True,14129.0,15238.0,14236.0,18830.0,18318.0
Gannon University,PA,52869,0,0,,,True,18489.0,15945.0,20352.0,23354.0,25445.0
Gardner-Webb University,NC,47091,0,0,,,True,15304.0,14594.0,13769.0,15946.0,22438.0
Geneva College,PA,45407,0,0,,,True,20283.0,15089.0,16079.0,20361.0,34864.0
George Fox University,OR,58644,0,0,,,True,22871.0,23580.0,24631.0,32052.0,36847.0
George Mason University,VA,28604,24468,0,,,False,11942.0,12093.0,15224.0,19430.0,25894.0
George Washington University,DC,83856,0,0,,,True,17440.0,17292.0,22080.0,28100.0,55337.0
Georgetown College,KY,56886,0,0,,,True,9777.0,7834.0,9797.0,16577.0,20207.0
Georgetown University,DC,88741,0,0,,,True,5064.0,12155.0,18329.0,26459.0,57403.0
Georgia College & State University,GA,30258,20326,0,,,False,15396.0,16772.0,19179.0,22294.0,23216.0
Georgia Gwinnett College,GA,22547,9312,0,,,False,14356.0,14738.0,16572.0,19095.0,20986.0
Georgia Institute of Technology-Main Campus,GA,28167,22426,0,,,False,7666.0,7209.0,10818.0,15088.0,17396.0
Georgia Southern University,GA,24430,11712,0,,,False,12162.0,12564.0,14965.0,18408.0,19789.0
Georgia Southwestern State University,GA,20484,11352,0,,,False,10477.0,10935.0,13508.0,16373.0,15415.0
Georgia State University,GA,28241,16176,0,,,False,13787.0,14430.0,16656.0,19390.0,20305.0
Georgian Court University,NJ,50671,0,0,,,True,12683.0,13347.0,15084.0,27407.0,26708.0
Gettysburg College,PA,81960,0,0,,,True,13625.0,13184.0,21261.0,28822.0,44863.0
Glenville State University,WV,23591,1776,0,,,False,10884.0,13210.0,14878.0,16498.0,16985.0
Gnomon,CA,54947,0,0,,,True,,,49286.0,50947.0,54947.0
Goldey-Beacom College,DE,26502,0,0,,,True,11367.0,14549.0,15777.0,19540.0,20121.0
Gonzaga University,WA,73178,0,0,,,True,20833.0,23112.0,25106.0,33949.0,42668.0
Gordon College,MA,42446,0,0,,,True,21829.0,18900.0,21004.0,24380.0,27138.0
Gordon State College,GA,14771,7320,0,,,False,6912.0,6817.0,9435.0,12326.0,12615.0
Goshen College,IN,48449,0,0,,,True,12761.0,6947.0,15163.0,17413.0,19447.0
Goucher College,MD,70544,0,0,,,True,13471.0,18066.0,20403.0,24781.0,32220.0
Governors State University,IL,24227,0,0,,,False,9563.0,10933.0,11705.0,16741.0,22076.0
Grace Christian University,MI,26166,0,0,,,True,9538.0,10935.0,10037.0,12379.0,20834.0
Grace College and Theological Seminary,IN,41838,0,0,,,True,10998.0,12459.0,17103.0,22963.0,26884.0
Graceland University-Lamoni,IA,48294,0,0,,,True,15875.0,16390.0,20883.0,18345.0,21560.0
Grambling State University,LA,25367,9023,0,,,False,18666.0,19007.0,21743.0,24525.0,25310.0
Grand Canyon University,AZ,32702,0,0,,,True,18557.0,18763.0,21712.0,24471.0,25701.0
Grand Valley State University,MI,28367,6408,0,,,False,12272.0,11902.0,12861.0,16609.0,22534.0
Grand View University,IA,48522,0,0,,,True,18512.0,18773.0,20254.0,23414.0,24601.0
Great Lakes Christian College,MI,30311,0,0,,,True,12510.0,16854.0,14394.0,18309.0,21553.0
Great Northern University,WA,28405,0,0,,,True,19898.0,,22160.0,,
Greensboro College,NC,35165,0,0,,,True,13877.0,14361.0,15614.0,21248.0,27075.0
Greenville University,IL,45091,0,0,,,True,19181.0,15313.0,13988.0,20650.0,24903.0
Grinnell College,IA,83440,0,0,,,True,9970.0,7789.0,9669.0,19348.0,37725.0
Guilford College,NC,55689,0,0,,,True,18367.0,22825.0,34680.0,49275.0,49368.0
Gustavus Adolphus College,MN,67613,0,0,,,True,12015.0,10783.0,13875.0,19015.0,29674.0
Gwynedd Mercy University,PA,55786,0,0,,,True,21995.0,20617.0,22269.0,27992.0,32456.0
Hamilton College,NY,84230,0,0,,,True,8028.0,9489.0,10863.0,20614.0,46907.0
Hamline University,MN,58110,0,0,,,True,15371.0,18001.0,16767.0,21015.0,27196.0
Hampden-Sydney College,VA,70325,0,0,,,True,13422.0,12458.0,17547.0,22600.0,32133.0
Hampshire College,MA,74195,0,0,,,True,13749.0,15251.0,18165.0,25447.0,37221.0
Hampton University,VA,46027,0,0,,,True,32101.0,14207.0,14305.0,,31528.0
Hannibal-LaGrange University,MO,40839,0,0,,,True,21285.0,18019.0,20681.0,25376.0,25979.0
Hanover College,IN,58821,0,0,,,True,16832.0,18773.0,16944.0,23824.0,27030.0
Hardin-Simmons University,TX,45904,0,0,,,True,13822.0,15190.0,17248.0,18182.0,25639.0
Harding University,AR,39534,0,0,,,True,15418.0,17430.0,19832.0,22017.0,26284.0
Harris-Stowe State University,MO,21493,4632,0,,,False,9827.0,10963.0,9814.0,8563.0,6238.0
Harrisburg University of Science and Technology,PA,35893,0,0,,,True,12637.0,11292.0,15063.0,19420.0,20871.0
Hartwick College,NY,68614,0,0,,,True,22584.0,30229.0,35177.0,35614.0,33129.0
Harvard University,MA,85540,0,0,,,True,8697.0,2991.0,2091.0,9941.0,53337.0
Harvey Mudd College,CA,90165,0,0,,,True,27979.0,23883.0,17968.0,25468.0,50665.0
Hastings College,NE,51422,0,0,,,True,21646.0,18812.0,21933.0,24986.0,27290.0
Haverford College,PA,90382,0,0,,,True,7531.0,9388.0,12007.0,18171.0,45991.0
Hawaii Pacific University,HI,50674,0,0,,,True,25758.0,24413.0,28979.0,30450.0,33540.0
Hebrew Theological College,IL,35559,0,0,,,True,21396.0,,,,35059.0
Heidelberg University,OH,47025,0,0,,,True,18217.0,15974.0,14556.0,21376.0,26286.0
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,41282,0,0,,,True,24953.0,21521.0,,,29993.0
Henderson State University,AR,27385,2376,0,,,False,23386.0,23208.0,25051.0,,
Hendrix College,AR,55013,0,0,,,True,15951.0,18838.0,26414.0,26396.0,27453.0
Heritage Bible College,NC,24868,0,0,,,True,17274.0,20095.0,,,
Heritage Christian University,AL,20909,0,0,,,True,,15833.0,15020.0,,
Heritage University,WA,31209,0,0,,,True,15114.0,12383.0,14119.0,17053.0,20749.0
Herzing University-Atlanta,GA,27007,0,0,,,True,21612.0,22285.0,,,
Herzing University-Kenosha,WI,28414,0,0,,,True,21600.0,25283.0,24333.0,24103.0,28132.0
Herzing University-Minneapolis,MN,26163,0,0,,,True,15304.0,15821.0,15433.0,22492.0,24347.0
High Point University,NC,65548,0,0,,,True,32763.0,31937.0,32461.0,35508.0,41994.0
Hilbert College,NY,42114,0,0,,,True,20903.0,20389.0,23162.0,24732.0,24329.0
Hiram College,OH,40572,0,0,,,True,16550.0,16382.0,18515.0,22236.0,26698.0
Hobart William Smith Colleges,NY,82602,0,0,,,True,14650.0,12639.0,22108.0,23149.0,39740.0
Hobe Sound Bible College,FL,18838,0,0,,,True,12148.0,11554.0,11554.0,14176.0,
Hofstra University,NY,70624,0,0,,,True,28219.0,31387.0,33450.0,36769.0,37348.0
Hollins University,VA,58698,0,0,,,True,17511.0,19304.0,20395.0,20721.0,26826.0
Holy Cross College,IN,50881,0,0,,,True,15377.0,13673.0,17036.0,22701.0,35603.0
Holy Family University,PA,40539,0,0,,,True,9721.0,9369.0,12056.0,16307.0,17822.0
Hood College,MD,61219,0,0,,,True,12424.0,14454.0,19837.0,23638.0,29078.0
Hope College,MI,55646,0,0,,,True,17606.0,16590.0,18206.0,25017.0,32754.0
Hope International University,CA,51784,0,0,,,True,27991.0,31016.0,34451.0,33634.0,34049.0
Houghton University,NY,31143,0,0,,,True,19147.0,18503.0,19312.0,19974.0,22424.0
Houston Christian University,TX,50082,0,0,,,True,17933.0,18998.0,19803.0,24079.0,28640.0
Howard Payne University,TX,46766,0,0,,,True,24043.0,21423.0,25917.0,23412.0,24182.0
Howard University,DC,54630,0,0,,,True,46051.0,47477.0,50245.0,52981.0,54270.0
Hult International Business School,MA,79075,0,0,,,True,43305.0,50308.0,,52658.0,59075.0
Humphreys University,CA,20918,0,0,,,True,6324.0,,4724.0,,
Huntingdon College,AL,40908,0,0,,,True,20435.0,19992.0,22966.0,24589.0,24713.0
Huntington University,IN,42157,0,0,,,True,10796.0,13006.0,14899.0,23155.0,27226.0
Husson University,ME,35852,0,0,,,True,16606.0,16898.0,17496.0,21273.0,25262.0
Huston-Tillotson University,TX,25384,0,0,,,True,19219.0,19361.0,20487.0,22757.0,24418.0
Idaho State University,ID,21527,19110,0,,,False,10593.0,10011.0,11538.0,14483.0,16288.0
Illinois College,IL,48955,0,0,,,True,12487.0,10910.0,12569.0,16826.0,25788.0
Illinois Institute of Technology,IL,68164,0,0,,,True,12964.0,13415.0,17217.0,21858.0,29950.0
